('名次', '选手', '战队', '位置', '出场次数', 'KDA', '参团率', '场均击杀', '单场最高击杀', '场均死亡', '单场最高死亡', '场均助攻', '单场最高助攻', 'GPM', 'CSPM', '每分钟输出', '输出占比', '每分钟承受伤害', '承受伤害占比', '每分钟插眼数', '每分钟排眼数')
15
['1', 'Werlyb', 'GIA', '上单', '14', '2.6', '52.9%', '3.9', '10', '4.0', '9', '6.5', '13', '369', '7.12', '460', '21.9%', '776', '27.3%', '0.29', '0.09']
['2', 'Fr3deric', 'GIA', '打野', '14', '2.9', '58.0%', '3.8', '7', '4.0', '8', '7.6', '16', '288', '2.66', '214', '10.2%', '659', '23.2%', '0.66', '0.19']
['3', 'xPePii', 'GIA', '中单', '14', '3.3', '68.5%', '5.9', '12', '4.1', '7', '7.6', '17', '400', '7.75', '667', '31.8%', '486', '17.1%', '0.17', '0.20']
['4', 'Adryh', 'GIA', 'ADC', '14', '4.4', '65.9%', '5.6', '9', '2.9', '6', '7.4', '16', '415', '8.43', '634', '30.2%', '454', '16.0%', '0.17', '0.12']
['5', 'Rydle', 'GIA', '辅助', '14', '3.3', '58.0%', '0.5', '1', '3.4', '7', '10.9', '20', '242', '0.88', '123', '5.9%', '464', '16.3%', '1.14', '0.20']
['6', 'Creaton', 'MIL', 'ADC', '3', '4.8', '72.5%', '5.7', '9', '2.0', '3', '4.0', '7', '367', '7.37', '480', '27.3%', '431', '18.5%', '0.08', '0.11']
['7', 'Jree', 'MIL', '辅助', '3', '2.5', '82.5%', '1.3', '2', '4.3', '7', '9.7', '16', '246', '0.49', '176', '10.0%', '340', '14.6%', '1.26', '0.28']
['8', 'H0R0', 'MIL', '打野', '3', '2.1', '62.5%', '1.0', '1', '4.0', '6', '7.3', '13', '246', '2.25', '154', '8.8%', '642', '27.5%', '0.75', '0.15']
['9', 'Ryu', 'MIL', '中单', '3', '2.2', '65.0%', '3.7', '8', '4.0', '5', '5.0', '9', '354', '7.55', '448', '25.5%', '456', '19.5%', '0.33', '0.22']
['10', 'Kev1n', 'MIL', '上单', '3', '2.9', '65.0%', '1.7', '2', '3.0', '6', '7.0', '11', '299', '5.47', '499', '28.4%', '462', '19.8%', '0.33', '0.08']
['11', 'Febiven', 'H2K', '中单', '7', '13.6', '68.8%', '6.9', '11', '1.0', '2', '6.7', '13', '448', '9.22', '662', '30.2%', '351', '14.7%', '0.22', '0.12']
['12', 'Odoamne', 'H2K', '上单', '7', '8.0', '63.8%', '4.9', '9', '1.6', '5', '7.7', '11', '374', '6.96', '531', '24.3%', '630', '26.4%', '0.24', '0.07']
['13', 'Voidle', 'H2K', '辅助', '7', '11.9', '68.8%', '0.6', '3', '1.1', '3', '13.0', '21', '265', '1.06', '116', '5.3%', '378', '15.8%', '1.10', '0.26']
['14', 'Loulex', 'H2K', '打野', '7', '3.9', '61.6%', '3.7', '7', '3.1', '7', '8.4', '12', '309', '2.74', '262', '12.0%', '673', '28.2%', '0.63', '0.23']
['15', 'Hjarnan', 'H2K', 'ADC', '7', '8.5', '61.6%', '3.7', '7', '1.4', '3', '8.4', '16', '405', '7.94', '616', '28.1%', '355', '14.9%', '0.19', '0.13']
['16', 'Barney D', 'SKP', '辅助', '3', '4.5', '70.3%', '1.3', '2', '3.3', '6', '13.7', '19', '259', '0.52', '146', '6.5%', '329', '10.7%', '1.03', '0.33']
