名次,战队,KDA,场均击杀,场均死亡,每分钟伤害,一血率,场均时长,场均经济,每分钟经济,每分钟补刀,场均小龙,小龙控制率,场均大龙,大龙控制率,每分钟插眼,每分钟排眼,排眼效率,场均推塔数,场均被推塔数,year,Season
1, GIA, 3.2, 19.7, 18.4, 2100, 64.3%, 37:37, 64622, 1717, 26.84, 2.6, 62.1%, 0.6, 47.1%, 2.44, 0.80, 29.9%, 7.6, 5.6, 2014, 2015欧洲扩展赛
2, MIL, 2.7, 13.3, 17.3, 1759, 33.3%, 37:11, 56339, 1515, 23.13, 2.0, 46.2%, 0.7, 50.0%, 2.76, 0.83, 33.7%, 5.7, 7.7, 2014, 2015欧洲扩展赛
3, H2K, 7.7, 19.7, 8.3, 2190, 71.4%, 34:29, 62258, 1805, 27.92, 2.4, 65.4%, 0.9, 100.0%, 2.38, 0.82, 34.7%, 9.0, 2.6, 2014, 2015欧洲扩展赛
4, SKP, 4.5, 21.3, 16.0, 2270, 100.0%, 37:56, 62077, 1636, 24.34, 1.3, 36.4%, 0.7, 50.0%, 2.37, 0.74, 29.8%, 6.0, 7.3, 2014, 2015欧洲扩展赛
5, Reason Gaming, 3.0, 17.6, 18.6, 2083, 42.9%, 38:19, 62447, 1629, 25.79, 2.4, 58.9%, 0.6, 56.2%, 2.80, 0.71, 29.2%, 6.9, 6.1, 2014, 2015欧洲扩展赛
6, G2d, 5.1, 18.4, 10.6, 2141, 60.0%, 36:59, 61262, 1656, 26.89, 1.6, 42.1%, 0.8, 57.1%, 2.54, 0.65, 30.0%, 6.6, 5.0, 2014, 2015欧洲扩展赛
7, TE, 2.0, 8.7, 15.7, 1679, 33.3%, 45:24, 68717, 1513, 27.01, 1.7, 33.3%, 1.0, 37.5%, 2.80, 0.94, 36.3%, 6.7, 8.7, 2014, 2015欧洲扩展赛
8, NF, 3.1, 10.8, 12.9, 1698, 25.0%, 41:56, 62749, 1496, 24.91, 2.0, 44.4%, 0.7, 40.0%, 2.42, 0.82, 30.6%, 5.2, 8.2, 2014, 2015欧洲扩展赛
9, MC, 4.0, 10.3, 6.7, 1873, 66.7%, 27:31, 46571, 1691, 28.23, 2.0, 75.0%, 0.7, 66.7%, 2.18, 0.57, 26.7%, 6.0, 3.0, 2014, 2015欧洲扩展赛
10, ASC, 2.7, 16.5, 23.5, 1948, 0.0%, 40:28, 61188, 1512, 23.33, 0.5, 11.1%, 1.0, 66.7%, 2.26, 0.79, 32.2%, 4.5, 9.5, 2014, 2015欧洲扩展赛
11, SPA, 2.2, 17.0, 29.0, 2330, 0.0%, 34:50, 53165, 1525, 24.27, 1.0, 25.0%, 0.0, 0.0%, 2.34, 0.67, 23.4%, 3.5, 8.5, 2014, 2015欧洲扩展赛
12, DD, 4.0, 22.0, 18.2, 2129, 75.0%, 35:59, 62374, 1732, 25.91, 1.8, 41.2%, 0.8, 60.0%, 2.66, 0.78, 28.9%, 5.8, 6.2, 2014, 2015欧洲扩展赛
13, TS, 0.6, 8.0, 34.5, 1430, 100.0%, 25:8, 32788, 1304, 20.32, 1.5, 75.0%, 0.0, 0.0%, 2.15, 0.36, 17.1%, 0.5, 7.5, 2014, 2015欧洲扩展赛
1, COW, 3.7, 15.8, 13.8, 2011, 80.0%, 33:13, 53903, 1622, 25.93, 1.6, 38.1%, 0.4, 40.0%, 3.12, 0.96, 39.1%, 6.2, 5.2, 2014, 2015北美扩展赛
2, CST, 5.9, 21.4, 12.7, 2089, 87.5%, 37:22, 63648, 1703, 25.43, 3.1, 65.3%, 0.9, 60.0%, 2.47, 0.87, 32.8%, 7.9, 5.1, 2014, 2015北美扩展赛
3, CLB, 1.7, 11.5, 23.5, 2032, 50.0%, 39:53, 57211, 1434, 24.80, 1.0, 20.0%, 0.5, 33.3%, 2.48, 0.99, 31.9%, 2.5, 9.5, 2014, 2015北美扩展赛
4, CA, 4.1, 21.7, 17.9, 1980, 70.0%, 40:0, 67556, 1688, 26.00, 2.5, 50.0%, 0.7, 50.0%, 2.59, 0.88, 34.6%, 7.4, 5.7, 2014, 2015北美扩展赛
5, PRO, 2.5, 11.5, 14.8, 1737, 0.0%, 34:15, 53949, 1574, 26.67, 2.0, 50.0%, 0.5, 28.6%, 1.90, 0.90, 33.8%, 5.8, 6.5, 2014, 2015北美扩展赛
6, ZEN, 2.8, 11.7, 14.0, 1642, 66.7%, 41:43, 64307, 1541, 25.79, 3.0, 60.0%, 0.3, 16.7%, 3.32, 1.21, 38.0%, 6.3, 7.3, 2014, 2015北美扩展赛
7, NME, 9.0, 27.5, 8.5, 2759, 50.0%, 23:23, 48221, 2062, 25.45, 1.0, 50.0%, 0.5, 100.0%, 2.31, 0.71, 26.6%, 9.5, 0.0, 2014, 2015北美扩展赛
8, FSN, 3.6, 23.0, 20.5, 2141, 20.0%, 40:56, 67411, 1646, 24.91, 2.5, 47.5%, 1.0, 62.5%, 2.53, 0.87, 32.8%, 7.2, 6.8, 2014, 2015北美扩展赛
9, F5, 2.3, 15.1, 21.6, 1891, 28.6%, 38:33, 61277, 1588, 24.83, 2.3, 47.8%, 0.8, 50.0%, 3.13, 0.86, 31.4%, 6.6, 7.1, 2014, 2015北美扩展赛
10, OO, 1.4, 8.7, 19.3, 1661, 0.0%, 34:4, 48982, 1437, 23.87, 2.3, 50.0%, 0.7, 50.0%, 2.28, 0.97, 32.2%, 3.3, 8.7, 2014, 2015北美扩展赛
11, FSE, 2.0, 12.0, 20.5, 1727, 100.0%, 37:23, 53477, 1430, 23.50, 1.0, 22.2%, 1.0, 50.0%, 2.65, 0.67, 34.2%, 3.0, 9.5, 2014, 2015北美扩展赛
12, NT, 0.9, 8.0, 28.0, 1690, 50.0%, 23:23, 30308, 1296, 19.33, 1.0, 50.0%, 0.0, 0.0%, 2.65, 0.66, 28.7%, 0.0, 9.5, 2014, 2015北美扩展赛
1, C9, 2.6, 12.9, 15.9, 1812, 36.4%, 36:42, 59312, 1616, 25.51, 2.3, 54.3%, 0.5, 46.2%, 2.58, 1.14, 34.9%, 7.0, 7.2, 2014, 2014S4全球总决赛
2, LMQ, 2.3, 11.3, 18.8, 1553, 66.7%, 37:8, 54696, 1472, 23.88, 1.5, 32.1%, 0.7, 50.0%, 2.76, 0.98, 30.8%, 4.8, 7.8, 2014, 2014S4全球总决赛
3, SK, 1.9, 11.8, 19.0, 1767, 16.7%, 39:11, 60739, 1549, 26.63, 1.8, 45.8%, 0.8, 45.5%, 2.41, 0.78, 26.8%, 5.3, 7.2, 2014, 2014S4全球总决赛
4, FNC, 3.0, 12.8, 13.8, 1771, 50.0%, 44:43, 68766, 1537, 25.45, 2.3, 46.7%, 0.8, 41.7%, 3.27, 1.12, 38.1%, 7.3, 7.8, 2014, 2014S4全球总决赛
5, ALL, 4.5, 12.8, 9.0, 1538, 66.7%, 38:56, 62342, 1600, 28.04, 1.3, 36.4%, 0.8, 55.6%, 2.83, 0.90, 33.3%, 7.0, 6.2, 2014, 2014S4全球总决赛
6, TPA, 2.0, 9.8, 15.5, 1633, 50.0%, 41:13, 59223, 1436, 26.77, 0.8, 19.2%, 0.2, 10.0%, 2.96, 0.87, 31.9%, 3.8, 9.3, 2014, 2014S4全球总决赛
7, OMG, 3.9, 16.1, 13.4, 1915, 28.6%, 40:12, 66894, 1663, 26.40, 2.9, 61.5%, 0.6, 45.0%, 3.09, 1.02, 35.1%, 7.1, 5.6, 2014, 2014S4全球总决赛
8, SSW, 9.5, 22.6, 7.9, 2111, 64.7%, 29:12, 56573, 1936, 27.22, 2.4, 77.4%, 0.8, 87.5%, 3.22, 0.95, 35.1%, 7.9, 2.9, 2014, 2014S4全球总决赛
9, RYL, 3.6, 15.6, 14.9, 1783, 55.0%, 35:21, 58701, 1659, 25.89, 1.8, 46.8%, 0.9, 76.0%, 2.59, 0.90, 30.3%, 6.1, 5.9, 2014, 2014S4全球总决赛
10, EDG, 3.7, 16.2, 14.1, 1840, 58.3%, 36:12, 60613, 1674, 26.63, 2.6, 63.3%, 0.8, 52.9%, 2.70, 1.00, 34.6%, 6.7, 5.3, 2014, 2014S4全球总决赛
11, DP, 0.5, 3.3, 20.7, 1326, 16.7%, 29:57, 38256, 1276, 25.45, 0.5, 15.0%, 0.0, 0.0%, 2.67, 0.82, 31.1%, 1.0, 8.3, 2014, 2014S4全球总决赛
12, AHQ, 2.3, 15.3, 20.0, 1772, 57.1%, 35:34, 54680, 1537, 25.65, 1.1, 32.0%, 0.3, 22.2%, 2.98, 0.70, 26.6%, 4.1, 7.0, 2014, 2014S4全球总决赛
13, KDM, 3.0, 11.7, 12.6, 1839, 40.0%, 40:12, 64826, 1612, 27.22, 2.5, 56.8%, 0.9, 60.0%, 3.29, 1.16, 41.7%, 7.2, 6.6, 2014, 2014S4全球总决赛
14, SSB, 3.6, 16.6, 15.5, 1851, 61.5%, 34:13, 57661, 1684, 25.42, 2.2, 49.1%, 0.7, 52.9%, 3.04, 1.15, 38.9%, 6.7, 6.0, 2014, 2014S4全球总决赛
15, -, 1.5, 6.0, 13.2, 1355, 50.0%, 34:24, 47855, 1390, 26.31, 0.8, 25.0%, 0.2, 14.3%, 2.54, 0.84, 31.7%, 3.3, 8.5, 2014, 2014S4全球总决赛
1, CLG, 3.7, 10.8, 10.6, 1710, 80.0%, 37:56, 62565, 1649, 29.72, 1.8, 39.1%, 0.6, 42.9%, 2.60, 0.97, 33.7%, 8.0, 5.6, 2014, 2015LCS北美春季资格赛
2, CST, 1.5, 8.7, 15.7, 1440, 66.7%, 34:1, 48390, 1422, 26.05, 1.7, 45.5%, 0.7, 40.0%, 2.47, 0.78, 28.3%, 1.7, 11.0, 2014, 2015LCS北美春季资格赛
3, CLB, 2.8, 11.4, 13.2, 1863, 40.0%, 43:38, 68566, 1570, 28.16, 1.4, 29.2%, 0.8, 50.0%, 3.13, 1.12, 40.5%, 7.4, 7.0, 2014, 2015LCS北美春季资格赛
4, EG, 5.7, 15.7, 8.7, 1629, 33.3%, 34:1, 64140, 1884, 30.73, 2.0, 54.5%, 1.0, 60.0%, 2.77, 0.85, 34.5%, 11.0, 1.7, 2014, 2015LCS北美春季资格赛
5, CA, 3.5, 10.6, 10.8, 1883, 20.0%, 37:56, 59923, 1579, 27.26, 2.8, 60.9%, 0.8, 57.1%, 2.88, 0.62, 23.7%, 5.6, 8.0, 2014, 2015LCS北美春季资格赛
1, GMB, 4.5, 22.0, 15.5, 2177, 75.0%, 35:52, 64378, 1794, 26.85, 2.2, 56.2%, 1.2, 83.3%, 2.56, 0.84, 40.2%, 7.2, 5.0, 2014, 2015LCS欧洲春季资格赛
2, MIL, 2.3, 15.2, 20.6, 2066, 60.0%, 35:54, 56808, 1581, 23.48, 1.4, 33.3%, 0.8, 66.7%, 2.32, 0.65, 24.9%, 6.0, 8.0, 2014, 2015LCS欧洲春季资格赛
3, CW, 7.4, 11.7, 4.7, 2135, 66.7%, 35:9, 63170, 1796, 27.47, 3.7, 91.7%, 1.7, 100.0%, 2.48, 0.80, 33.9%, 10.3, 2.3, 2014, 2015LCS欧洲春季资格赛
4, H2K, 1.3, 4.7, 11.7, 1681, 33.3%, 35:9, 46178, 1313, 26.73, 0.3, 8.3%, 0.0, 0.0%, 2.35, 0.54, 21.8%, 2.3, 10.3, 2014, 2015LCS欧洲春季资格赛
5, UOL, 5.1, 20.6, 15.2, 2117, 40.0%, 35:54, 60993, 1698, 24.09, 2.8, 66.7%, 0.4, 33.3%, 2.62, 0.67, 28.8%, 8.0, 6.0, 2014, 2015LCS欧洲春季资格赛
1, XDG, 2.6, 14.3, 16.0, 0, 0.0%, 36:1, 54630, 1516, 25.67, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014北美挑战者夏季季后赛
2, CST, 4.2, 14.8, 11.8, 0, 0.0%, 38:57, 64293, 1650, 26.55, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014北美挑战者夏季季后赛
3, CA, 3.9, 15.5, 12.8, 0, 0.0%, 36:35, 61510, 1680, 27.61, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014北美挑战者夏季季后赛
4, T8, 4.3, 16.1, 12.8, 0, 0.0%, 36:51, 64318, 1745, 26.90, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014北美挑战者夏季季后赛
5, PRO, 2.1, 11.1, 15.0, 0, 0.0%, 34:41, 53612, 1545, 28.34, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014北美挑战者夏季季后赛
1, NIP, 1.8, 10.7, 20.0, 0, 0.0%, 31:46, 47099, 1482, 25.41, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014欧洲挑战者夏季季后赛
2, H2K, 4.7, 18.4, 13.4, 0, 0.0%, 36:31, 61537, 1684, 26.46, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014欧洲挑战者夏季季后赛
3, UOL, 4.1, 14.6, 12.4, 0, 0.0%, 36:11, 54530, 1506, 23.35, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014欧洲挑战者夏季季后赛
4, SKP, 3.6, 17.3, 15.8, 0, 0.0%, 34:27, 60222, 1748, 28.28, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014欧洲挑战者夏季季后赛
5, Reason Gaming, 1.0, 9.5, 23.5, 0, 0.0%, 25:9, 35681, 1418, 24.58, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014欧洲挑战者夏季季后赛
1, SKT, 3.1, 14.0, 14.0, 0, 0.0%, 35:6, 53500, 1561, 28.49, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
2, SSW, 5.3, 16.8, 10.6, 0, 0.0%, 33:27, 55909, 1595, 25.19, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
3, NBS, 5.2, 13.5, 8.7, 0, 0.0%, 40:34, 72600, 1612, 28.81, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
4, KDM, 3.2, 13.1, 14.2, 0, 0.0%, 40:27, 68400, 1681, 29.10, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
5, SSB, 4.1, 19.3, 16.3, 0, 0.0%, 38:32, 67250, 1727, 26.59, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
6, SKS, 3.1, 10.6, 11.8, 0, 0.0%, 37:34, 56538, 1468, 26.82, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
7, KTA, 4.5, 17.7, 14.1, 0, 0.0%, 38:34, 64800, 1643, 25.35, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
8, CJE, 3.0, 10.8, 12.5, 0, 0.0%, 33:1, 0, 0, 27.66, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
9, IM1, 1.4, 9.8, 21.2, 0, 0.0%, 31:42, 0, 0, 25.42, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
10, JAF, 3.1, 11.3, 13.5, 0, 0.0%, 41:0, 58500, 1430, 24.64, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
11, KT, 2.6, 9.8, 14.5, 0, 0.0%, 35:29, 71000, 1735, 27.55, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
12, CJB, 3.8, 18.0, 16.3, 0, 0.0%, 36:56, 0, 0, 26.38, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
13, IMiracle, 3.1, 13.0, 14.2, 0, 0.0%, 29:57, 0, 0, 26.43, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
14, JAG, 3.9, 17.4, 15.3, 0, 0.0%, 38:15, 65333, 1525, 23.99, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
15, MKZ, 1.4, 11.5, 26.2, 0, 0.0%, 35:2, 0, 0, 23.33, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014OGN夏季赛
1, H2K, 4.7, 10.9, 7.1, 0, 0.0%, 33:22, 56443, 1691, 28.08, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
2, UOL, 4.5, 20.8, 14.8, 0, 0.0%, 35:12, 61165, 1737, 26.45, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
3, SKP, 5.2, 20.2, 12.7, 0, 0.0%, 34:2, 63358, 1861, 27.72, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
4, G2d, 2.6, 9.5, 12.2, 0, 0.0%, 49:25, 77772, 1573, 26.43, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
5, NF, 1.1, 4.0, 8.0, 0, 0.0%, 43:28, 56819, 1307, 28.48, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
6, GNW, 1.3, 19.0, 40.0, 0, 0.0%, 23:33, 36764, 1561, 21.74, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
7, BB, 2.7, 15.0, 19.0, 0, 0.0%, 43:52, 68340, 1557, 26.65, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
8, CN2, 2.8, 11.8, 13.8, 0, 0.0%, 27:15, 42470, 1558, 26.26, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
9, INV, 3.0, 12.0, 12.5, 0, 0.0%, 31:6, 52960, 1702, 30.14, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
10, TRC, 3.0, 7.0, 8.0, 0, 0.0%, 41:39, 63228, 1518, 26.85, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
11, TPL, 0.7, 5.0, 21.0, 0, 0.0%, 27:51, 35732, 1283, 22.41, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
12, KP, 2.2, 13.5, 17.0, 0, 0.0%, 32:39, 55076, 1686, 29.35, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
13, 4EZ, 2.7, 8.0, 9.0, 0, 0.0%, 29:16, 46491, 1588, 27.70, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
14, DAC, 0.5, 1.0, 11.0, 0, 0.0%, 20:25, 24375, 1193, 22.92, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
15, RFS, 0.4, 2.0, 11.0, 0, 0.0%, 25:16, 35253, 1395, 26.04, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
16, PD, 5.1, 14.5, 10.5, 0, 0.0%, 39:33, 63811, 1613, 26.06, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2014, 2014CS欧洲夏季第2系列赛
